Model ID	Name	Reaction	Subsystem	Lower Bound	Upper Bound	Gene-Protein-Rule (GPR)	Reaction Type	BiGG ID	KEGG ID	ModelSEED ID	Confidence Score	Evidence
12DGR120tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"	12dgr120_p --> 12dgr120_c	Fatty Acid  Biosynthesis	0	1000	-	Catalytic	12DGR120tipp	-	rxn07912	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
12DGR140tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"	12dgr140_p --> 12dgr140_c	Fatty Acid  Biosynthesis	0	1000	-	Catalytic	12DGR140tipp	-	rxn07913	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
12DGR141tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"	12dgr141_p --> 12dgr141_c	Fatty Acid  Biosynthesis	0	1000	-	Catalytic	12DGR141tipp	-	rxn07914	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
12DGR160tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"	12dgr160_p --> 12dgr160_c	Fatty Acid  Biosynthesis	0	1000	-	Catalytic	12DGR160tipp	-	rxn07915	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
12DGR161tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"	12dgr161_p --> 12dgr161_c	Fatty Acid  Biosynthesis	0	1000	-	Catalytic	12DGR161tipp	-	rxn07916	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
12DGR180tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"	12dgr180_p --> 12dgr180_c	Fatty Acid  Biosynthesis	0	1000	-	Catalytic	12DGR180tipp	-	rxn07917	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
12DGR181tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"	12dgr181_p --> 12dgr181_c	Fatty Acid  Biosynthesis	0	1000	-	Catalytic	12DGR181tipp	-	rxn07918	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
12PPDt	"S-Propane-1,2-diol facilitated transport"	12ppd__S_e <=> 12ppd__S_c	Alternate Carbon Metabolism	-1000	1000	KPN_03202	Transport	12PPDt	-	rxn07921	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
13PPDH	"1,3-propanediol dehydrogenase"	3hppnl_c + h_c + nadh_c --> 13ppd_c + nad_c	Glycerolipid Metabolism	0	1000	KPN_03491	Catalytic	13PPDH	R03119	rxn02235	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
13PPDtex	"1,3-propanediol transporter via diffusion (extracellular to periplasm)"	13ppd_e <=> 13ppd_p	"Transport, Outer Membrane"	-1000	1000	-	Transport	13PPDtex	-	-	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
13PPDtpp	"1,3-propanediol transporter (facilitated diffusion, periplasm)"	13ppd_p <=> 13ppd_c	"Transport, Inner Membrane"	-1000	1000	-	Transport	13PPDtpp	-	-	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
